{0.0, 5.0},
{1.0, 14.661659},
{2.0, 15.560880},
{3.0, 15.927020},
{4.0, 16.568291},
{5.0, 18.303759},
{6.0, 19.157148},
{7.0, 20.944599},
{8.0, 22.596100},
{9.0, 23.025951},
{10.0, 25.903030},
{11.0, 28.434729},
{12.0, 30.524710},
{13.0, 31.625759},
{14.0, 34.235725},
{15.0, 36.901440},
{16.0, 40.163738},
{17.0, 44.019341},
{18.0, 44.768658},
{19.0, 49.555248},
{20.0, 56.278118},
{21.0, 59.905346},
{22.0, 64.042496},
{23.0, 69.965248},
{24.0, 77.182022},
{25.0, 81.073914},
{26.0, 89.339218},
{27.0, 96.296753},
{28.0, 100.722771},
{29.0, 108.025780},
{30.0, 115.575485},
{31.0, 122.833633},
{32.0, 133.766602},
{33.0, 144.135086},
{34.0, 159.488968},
{35.0, 166.558502},
{36.0, 178.282349},
{37.0, 189.092865},
{38.0, 202.196732},
{39.0, 212.861603},
{40.0, 234.333084},
{41.0, 248.347321},
{42.0, 262.094543},
{43.0, 283.565796},
{44.0, 301.493713},
{45.0, 322.728455},
{46.0, 344.373596},
{47.0, 365.494080},
{48.0, 381.928162},
{49.0, 415.564850},
{50.0, 441.482819},
{51.0, 468.173431},
{52.0, 501.893982},
{53.0, 521.712341},
{54.0, 550.043701},
{55.0, 586.746399},
{56.0, 627.726074},
{57.0, 661.966309},
{58.0, 703.051208},
{59.0, 730.505554},
{60.0, 761.137329},
{61.0, 804.480469},
{62.0, 847.356140},
{63.0, 878.056946},
{64.0, 941.720215},
{65.0, 993.722656},
{66.0, 1061.685303},
{67.0, 1101.080322},
{68.0, 1135.102417},
{69.0, 1196.311035},
{70.0, 1233.961548},
{71.0, 1294.063599},
{72.0, 1352.521729},
{73.0, 1392.430054},
{74.0, 1460.270386},
{75.0, 1512.882202},
{76.0, 1609.747437},
{77.0, 1674.149170},
{78.0, 1696.517944},
{79.0, 1770.225342},
{80.0, 1833.700928},
{81.0, 1901.670288},
{82.0, 1970.877197},
{83.0, 2023.935547},
{84.0, 2094.105469},
{85.0, 2165.517334},
{86.0, 2248.448242},
{87.0, 2357.001465},
{88.0, 2456.213135},
{89.0, 2539.881348},
{90.0, 2570.754395},
{91.0, 2631.065918},
{92.0, 2691.585938},
{93.0, 2750.663086},
{94.0, 2817.201172},
{95.0, 2895.280762},
{96.0, 2941.024902},
{97.0, 3038.455322},
{98.0, 3106.765137},
{99.0, 3144.267822},
{100.0, 3183.569824}
